Заголовок:Перелік галузей знань, спеціальностей та освітніх програм підготовки здобувачів вищої освіти
на першому (бакалаврському), другому (магістерському) та третьому (освітньо-науковому) рівнях вищої освіти та сертифікатів про акредитацію
Дата: ----------
URL: https://docs.google.com/spreadsheets/d/1UyHKOsqxT8RUAy0adTHsiS_KUQVzdYI1AedOw5A1z5E/edit?gid=0#gid=0
==================================================
"Перелік галузей знань, спеціальностей та освітніх програм підготовки здобувачів вищої освіти
на першому (бакалаврському), другому (магістерському) та третьому (освітньо-науковому) рівнях вищої освіти та сертифікатів про акредитацію"									
212	26 Цивільна безпека	263 Цивільна безпека	50281	"Техногенна та промислова безпека в транспортній галузі 
Техногенна та промислова безпека в транспортній галузі (авіаційній)"	Другий (магістерський)	"№ 2794 
(ОП)"	"23.12.2021
01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Факультет екологічної безпеки, інженерії та технологій
213	27 Транспорт	272 Авіаційний транспорт	18122	"Льотна експлуатація повітряних суден
272.02 Льотна експлуатація повітряних суден"	Перший (бакалаврський)	НД №1193806 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Аерокосмічний факультет
214	27 Транспорт	272 Авіаційний транспорт	7677	Технічне обслуговування та ремонт повітряних суден і авіадвигунів	Перший (бакалаврський)	НД №1193806 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Аерокосмічний факультет
215	27 Транспорт	272 Авіаційний транспорт	7120	Технічне обслуговування та ремонт повітряних суден і авіадвигунів	Другий (магістерський)	"№6577
(ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
216	27 Транспорт	272 Авіаційний транспорт	8320	Технології робіт та технологічне обладнання аеропортів	Перший (бакалаврський)	НД №1193806 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Аерокосмічний факультет
217	27 Транспорт	272 Авіаційний транспорт	9485	Технології робіт та технологічне обладнання аеропортів	Другий (магістерський)	"№6576
 (ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
218	27 Транспорт	272 Авіаційний транспорт	12058	Обслуговування повітряного руху	Перший (бакалаврський)	НД №1193806 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
219	27 Транспорт	272 Авіаційний транспорт	9078	Обслуговування повітряного руху	Другий (магістерський)	"№9461
 (ОП)"	"28.11.2024
26.11.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
220	27 Транспорт	272 Авіаційний транспорт	9491	Системи аеронавігаційного обслуговування	Перший (бакалаврський)	НД №1193806 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
221	27 Транспорт	272 Авіаційний транспорт	6941	Системи аеронавігаційного обслуговування	Другий (магістерський)	"№9273
(ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
222	27 Транспорт	272 Авіаційний транспорт	7674	Безпілотні авіаційні комплекси	Перший (бакалаврський)	НД №1193806 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
223	27 Транспорт	272 Авіаційний транспорт	24609	Безпілотні авіаційні комплекси	Другий (магістерський)	"№3837
(ОП)"	"29.12.2022
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
224	27 Транспорт	272 Авіаційний транспорт	52750	Управління авіаційними транспортними системами та комплексами	Другий (магістерський)	НД №1191188 (С)	"30.08.2017
 01.07.2025"	Міністерство освіти і науки України	Аерокосмічний факультет
225	27 Транспорт	272 Авіаційний транспорт	49920	Авіаційний транспорт	Третій (освітньо- науковий)	"№ 2782 
(ОП)"	"23.12.2021
 01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
226	27 Транспорт	275 Транспортні технології	40215	"Бортовий супровід авіаційних пасажирських перевезень
275.04 Транспортні технології (на повітряному транспорті)"	Перший (бакалаврський)	"№8256
(ОП)"	"16.05.2024
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет транспорту, менеджменту і логістики
227	27 Транспорт	275 Транспортні технології	6107	"Організація авіаційних робіт і послуг
275.04 Транспортні технології (на повітряному транспорті)
Набір припинено з 2023 р."	Перший (бакалаврський)	"НД№ 1191141
(С)"	"30.08.2017
01.07.2025"	Міністерство освіти і науки України	Факультет транспорту, менеджменту і логістики
228	27 Транспорт	275 Транспортні технології	16502	"Організація авіаційних робіт і послуг
275.04 Транспортні технології (на повітряному транспорті)"	Другий (магістерський)	"№6595
 (ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет транспорту, менеджменту і логістики
229	27 Транспорт	275 Транспортні технології	7676	"Організація перевезень і управління на транспорті (повітряному)
275.04 Транспортні технології (на повітряному транспорті)"	Перший (бакалаврський)	"№ 3834
(ОП)"	"29.12.2022
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет транспорту, менеджменту і логістики
230	27 Транспорт	275 Транспортні технології	7261	"Організація перевезень і управління на транспорті (повітряному)
275.04 Транспортні технології (на повітряному транспорті)"	Другий (магістерський)	"№6593
 (ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет транспорту, менеджменту і логістики
231	27 Транспорт	275 Транспортні технології	18121	Мультимодальний транспорт і логістика 275.04 Транспортні технології (на повітряному транспорті)	Перший (бакалаврський)	"№ 4134
(ОП)"	"28.04.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет транспорту, менеджменту і логістики
232	27 Транспорт	275 Транспортні технології	24614	Мультимодальний транспорт і логістика 275.04 Транспортні технології (на повітряному транспорті)	Другий (магістерський)	"№6594
(ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет транспорту, менеджменту і логістики
233	27 Транспорт	275 Транспортні технології	49921	"Транспортні технології
275.04 Транспортні технології (на повітряному транспорті)"	Третій (освітньо- науковий)	"№ 5085
(ОП)"	"20.06.2023
 01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет транспорту, менеджменту і логістики
234	28 Публічне управління та адміністрування	281 Публічне управління та адміністрування	40222	Публічне управління та адміністрування	Перший (бакалаврський)	"№ 4133
(ОП)"	"28.04.2023
 01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Навчально- науковий інститут неперервної освіти
235	28 Публічне управління та адміністрування	281 Публічне управління та адміністрування	26761	"Економічний аналіз й прогнозування в публічному управлінні
Набір припинено з 2024 р."	Другий (магістерський)	"№ 224
 (ОП)"	"28.01.2020
28.01.2025"	Національне агентство із забезпечення якості вищої освіти 	Навчально- науковий інститут неперервної освіти
236	28 Публічне управління та адміністрування	281 Публічне управління та адміністрування	20460	Менеджмент в органах публічного управління	Другий (магістерський)	"№9272
(ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Навчально- науковий інститут неперервної освіти
237	28 Публічне управління та адміністрування	281 Публічне управління та адміністрування	52460	Публічне управління та адміністрування	Третій (освітньо- науковий)	"№9281
(ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Навчально- науковий інститут неперервної освіти
238	29 Міжнародні відносини	"291 Міжнародні відносини, суспільні комунікації та
 регіональні студії"	21324	Міжнародні відносини	Перший (бакалаврський)	"№ 5267
(ОП)"	"28.06.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
239	29 Міжнародні відносини	"291 Міжнародні відносини, суспільні комунікації та
 регіональні студії"	21323	Міжнародна інформація	Перший (бакалаврський)	"№  5266
(ОП)"	"28.06.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
240	29 Міжнародні відносини	"291 Міжнародні відносини, суспільні
 комунікації та регіональні студії"	20444	Міжнародна інформація	Другий (магістерський)	"№6607
 (ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
241	29 Міжнародні відносини	"291 Міжнародні відносини, суспільні комунікації та
 регіональні студії"	35422	"Зовнішня політика і дипломатія
"	Другий (магістерський)	"№ 2759 
(ОП)"	"23.12.2021
 01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
242	29 Міжнародні відносини	"291 Міжнародні відносини, суспільні комунікації та
 регіональні студії"	55263	Зовнішня політика	Третій (освітньо- науковий)	Неакредитована (ОП)	---	---	Факультет міжнародних відносин
243	29 Міжнародні відносини	292 Міжнародні економічні відносини	21325	Міжнародний бізнес	Перший (бакалаврський)	"№ 3292
(ОП)"	"20.05.2022
01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
244	29 Міжнародні відносини	292 Міжнародні економічні відносини	20447	Міжнародний бізнес	Другий (магістерський)	"№ 6605
(ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
245	29 Міжнародні відносини	292 Міжнародні економічні відносини	21326	Міжнародні економічні відносини	Перший (бакалаврський)	"№ 1931 
(ОП)"	"30.06.2021
01.07.2026"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
246	29 Міжнародні відносини	292 Міжнародні економічні відносини	20446	Міжнародні економічні відносини	Другий (магістерський)	УД №11008108 (ОП)	"08.01.2019
01.07.2025"	Міністерство освіти і науки України	Факультет міжнародних відносин
247	29 Міжнародні відносини	292 Міжнародні економічні відносини	49922	Міжнародні економічні відносини	Третій (освітньо- науковий)	Умовна (ОП)	"25.04.2023
25.04.2024"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
248	29 Міжнародні відносини	293 Міжнародне право	21327	Міжнародне право	Перший (бакалаврський)	"№ 1874 
(ОП)"	"22.06.2021
01.07.2026"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
249	29 Міжнародні відносини	293 Міжнародне право	20448	Міжнародне право	Другий (магістерський)	"№9280
(ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
250	29 Міжнародні відносини	293 Міжнародне право	55265	Міжнародне право	Третій (освітньо- науковий)	"№9456 
(ОП)"	"28.11.2024
26.11.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
